_id,dt,reported_trips_started,trips_started_wav,trips_started_nonwav,trips_started_pooled,trips_cancelled_driver_wav,trips_cancelled_driver_nonwav,trips_cancelled_passenger_wav,trips_cancelled_passenger_nonwav,dist_avg,fare_avg,waittime_wav_avg,waittime_nonwav_avg,active_vehicles,time_available,time_enroute,time_waiting,time_ontrip,dist_available_routed,dist_enroute_routed,dist_ontrip_routed,dist_ontrip_reported,percent_time_available,percent_time_enroute,percent_time_waiting,percent_time_ontrip,percent_dist_available_routed,percent_dist_enroute_routed,percent_dist_ontrip_routed
1,2018-01-01,117390,102,117288,,,,,,10.04,,,,,,,,,,,,,,,,,,,
2,2018-01-02,71260,118,71142,,,,,,9.05,,,,,,,,,,,,,,,,,,,
3,2018-01-03,74204,89,74115,,,,,,8.83,,,,,,,,,,,,,,,,,,,
4,2018-01-04,87341,105,87236,,,,,,8.32,,,,,,,,,,,,,,,,,,,
5,2018-01-05,117752,135,117617,,,,,,8.06,,,,,,,,,,,,,,,,,,,
6,2018-01-06,118084,79,118005,,,,,,8.22,,,,,,,,,,,,,,,,,,,
7,2018-01-07,87436,69,87367,,,,,,9.03,,,,,,,,,,,,,,,,,,,
8,2018-01-08,74020,92,73928,,,,,,8.99,,,,,,,,,,,,,,,,,,,
9,2018-01-09,76672,113,76559,,,,,,8.86,,,,,,,,,,,,,,,,,,,
10,2018-01-10,82543,145,82398,,,,,,8.78,,,,,,,,,,,,,,,,,,,
11,2018-01-11,94008,130,93878,,,,,,8.6,,,,,,,,,,,,,,,,,,,
12,2018-01-12,124910,160,124750,,,,,,8.08,,,,,,,,,,,,,,,,,,,
13,2018-01-13,137203,111,137092,,,,,,8.34,,,,,,,,,,,,,,,,,,,
14,2018-01-14,99155,75,99080,,,,,,9.04,,,,,,,,,,,,,,,,,,,
15,2018-01-15,85015,110,84905,,,,,,8.68,,,,,,,,,,,,,,,,,,,
16,2018-01-16,85134,129,85005,,,,,,8.75,,,,,,,,,,,,,,,,,,,
17,2018-01-17,89874,142,89732,,,,,,8.64,,,,,,,,,,,,,,,,,,,
18,2018-01-18,97156,121,97035,,,,,,8.55,,,,,,,,,,,,,,,,,,,
19,2018-01-19,120446,131,120315,,,,,,8.57,,,,,,,,,,,,,,,,,,,
20,2018-01-20,127705,105,127600,,,,,,8.95,,,,,,,,,,,,,,,,,,,
21,2018-01-21,95314,75,95239,,,,,,9.55,,,,,,,,,,,,,,,,,,,
22,2018-01-22,83307,98,83209,,,,,,8.77,,,,,,,,,,,,,,,,,,,
23,2018-01-23,81298,153,81145,,,,,,8.77,,,,,,,,,,,,,,,,,,,
24,2018-01-24,88526,156,88370,,,,,,8.61,,,,,,,,,,,,,,,,,,,
25,2018-01-25,94906,148,94758,,,,,,8.74,,,,,,,,,,,,,,,,,,,
26,2018-01-26,117032,137,116895,,,,,,8.68,,,,,,,,,,,,,,,,,,,
27,2018-01-27,127972,89,127883,,,,,,9,,,,,,,,,,,,,,,,,,,
28,2018-01-28,94831,63,94768,,,,,,9.59,,,,,,,,,,,,,,,,,,,
29,2018-01-29,81896,113,81783,,,,,,8.85,,,,,,,,,,,,,,,,,,,
30,2018-01-30,89899,143,89756,,,,,,8.57,,,,,,,,,,,,,,,,,,,
31,2018-01-31,95452,128,95324,,,,,,8.73,,,,,,,,,,,,,,,,,,,
32,2018-02-01,98881,145,98736,,,,,,8.73,,,,,,,,,,,,,,,,,,,
33,2018-02-02,129387,182,129205,,,,,,8.29,,,,,,,,,,,,,,,,,,,
34,2018-02-03,139088,128,138960,,,,,,8.67,,,,,,,,,,,,,,,,,,,
35,2018-02-04,110242,83,110159,,,,,,9.27,,,,,,,,,,,,,,,,,,,
36,2018-02-05,85268,108,85160,,,,,,8.9,,,,,,,,,,,,,,,,,,,
37,2018-02-06,88180,148,88032,,,,,,8.73,,,,,,,,,,,,,,,,,,,
38,2018-02-07,94067,137,93930,,,,,,8.39,,,,,,,,,,,,,,,,,,,
39,2018-02-08,101638,178,101460,,,,,,8.58,,,,,,,,,,,,,,,,,,,
